Approval;CreditScore;DebttoIncomeRatio;Interest;RequestAmount
F;695;,47;2700;6000
F;775;,03;6300;14000
T;703;,21;3600;8000
T;738;,18;8100;18000
T;685;,16;7650;17000
T;725;,31;8550;19000
T;706;,04;8100;18000
F;712;0;3150;7000
F;647;,37;14400;32000
F;656;,16;3150;7000
F;644;,18;4950;11000
T;722;,16;4050;9000
T;758;,04;450;1000
F;585;,32;11700;26000
F;679;,4;7650;17000
T;687;,2;2700;6000
F;668;,1;12150;27000
T;692;,08;7650;17000
F;608;,15;900;2000
T;768;,16;11700;26000
F;541;,14;3600;8000
F;644;,37;7200;16000
T;731;,19;2250;5000
T;737;,1;2250;5000
T;761;,08;15750;35000
F;583;,09;3600;8000
T;733;,17;13050;29000
F;639;,17;6750;15000
F;706;,58;16650;37000
F;572;,35;6750;15000
F;641;,26;6300;14000
T;729;,02;5400;12000
F;701;,24;11700;26000
T;722;,03;4500;10000
F;633;,44;1800;4000
T;705;,14;4050;9000
T;710;,08;4050;9000
F;738;,02;3600;8000
T;737;,18;6750;15000
F;600;,2;1350;3000
F;663;,5;2700;6000
F;704;,26;4500;10000
T;703;,29;5400;12000
T;682;,19;4050;9000
T;747;,11;11250;25000
F;644;,07;450;1000
T;765;,19;5400;12000
F;530;,1;900;2000
F;732;,63;12150;27000
F;647;0;3600;8000
F;512;,3;6300;14000
T;726;,12;4500;10000
T;716;,08;10350;23000
F;716;,36;225;500
T;774;,06;6300;14000
T;682;,23;1350;3000
T;707;,12;3600;8000
F;612;,36;225;500
F;716;,09;3150;7000
F;690;,16;12150;27000
F;670;,06;4050;9000
F;692;,3;9450;21000
F;689;,34;3150;7000
F;666;,07;12150;27000
T;725;,08;4050;9000
F;700;,16;4050;9000
F;607;,07;4950;11000
F;676;,09;3150;7000
T;689;,16;4500;10000
T;726;,1;4950;11000
T;699;,28;10350;23000
T;803;,01;3150;7000
T;753;,28;5400;12000
F;646;,07;11250;25000
F;695;,5;8100;18000
F;518;,24;7650;17000
T;706;,01;2250;5000
T;696;,13;2700;6000
T;738;,16;8100;18000
T;749;,1;8100;18000
T;700;,24;11250;25000
F;725;,19;3150;7000
T;658;,21;4050;9000
T;719;,14;4500;10000
F;604;,05;5850;13000
T;707;,2;3600;8000
T;744;,12;4950;11000
F;568;,08;1800;4000
T;678;,21;8550;19000
F;687;,59;13500;30000
F;689;,12;7650;17000
F;601;,18;450;1000
F;693;,01;3150;7000
T;827;,12;2700;6000
F;596;,02;900;2000
T;746;,14;2250;5000
T;741;,11;9900;22000
F;539;,07;1350;3000
T;657;,03;7200;16000
F;651;,42;4050;9000
F;602;,43;225;500
F;748;,09;9900;22000
T;696;,17;13950;31000
T;656;,11;2250;5000
T;677;,1;4950;11000
T;725;,23;8550;19000
F;697;,21;13050;29000
F;733;,3;8550;19000
T;679;,22;4500;10000
F;666;,23;3600;8000
T;723;,07;3150;7000
F;566;,12;450;1000
T;744;,12;7650;17000
T;692;,22;4500;10000
T;718;,27;5400;12000
F;653;,11;13950;31000
F;721;,33;3600;8000
F;515;,45;1800;4000
T;712;,24;8550;19000
F;597;,37;5400;12000
T;746;,11;3600;8000
F;534;,03;12150;27000
T;763;,06;1350;3000
F;696;,35;6750;15000
F;657;,57;2700;6000
T;703;,25;6750;15000
T;710;,31;7650;17000
T;779;,12;4500;10000
F;658;,14;10800;24000
F;689;,1;1350;3000
F;574;,11;900;2000
T;734;,18;7200;16000
T;668;,24;2700;6000
F;654;,11;2700;6000
F;524;,22;3600;8000
F;687;,34;1350;3000
F;533;,45;15300;34000
T;668;,16;3150;7000
T;667;,15;2700;6000
T;693;,18;4950;11000
T;784;,09;4050;9000
T;671;,15;4950;11000
T;712;,09;9450;21000
F;694;,36;4050;9000
T;689;,29;5400;12000
F;607;,04;2700;6000
F;638;,22;14850;33000
T;739;,1;9000;20000
F;547;,04;1800;4000
T;746;,09;4950;11000
F;619;,19;16650;37000
T;802;,11;4050;9000
F;705;,74;1800;4000
F;570;,11;225;500
F;583;,12;900;2000
T;704;,15;2700;6000
F;730;,1;8550;19000
F;536;,03;2700;6000
T;695;,25;11700;26000
F;460;,14;14400;32000
T;679;,17;8550;19000
T;676;,29;5400;12000
F;658;,33;15750;35000
F;673;,16;7200;16000
F;558;,34;2250;5000
T;706;,08;4500;10000
T;722;,06;2700;6000
T;674;,04;10350;23000
T;692;,1;4500;10000
T;716;,07;1800;4000
F;567;,04;3600;8000
T;669;,08;3150;7000
T;645;,14;1350;3000
F;475;,02;6300;14000
T;750;,02;2250;5000
T;672;,16;6750;15000
T;662;,06;7650;17000
T;666;,18;8100;18000
F;652;,03;450;1000
F;583;,15;450;1000
T;671;,15;3600;8000
T;662;,12;5850;13000
T;690;,05;5400;12000
F;712;,28;15750;35000
T;750;0;2700;6000
T;684;,04;2700;6000
T;677;,17;9000;20000
T;675;,21;9000;20000
F;478;,01;450;1000
F;567;,15;1350;3000
F;637;,14;5400;12000
F;611;,04;2700;6000
F;630;,08;4050;9000
